model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
qwen,math500,static_7_4_8,8,0.8500000000000001,5706,0.3377397225977667,0.33294606855592995,0.3425333766396034,target_top1_prob
qwen,math500,static_7_4_8,9,0.95,6066,0.3977203146342612,0.39253504771557923,0.4029055815529432,target_top1_prob
qwen,mtbench,static_7_4_8,0,0.05,0,,,,target_top1_prob
qwen,mtbench,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
qwen,mtbench,static_7_4_8,2,0.25,2,,,,target_top1_prob
qwen,mtbench,static_7_4_8,3,0.35000000000000003,9,0.19047619047619047,0.09714285714285714,0.2838095238095238,target_top1_prob
qwen,mtbench,static_7_4_8,4,0.45,55,0.15844155844155844,0.14451675272428358,0.1723663641588333,target_top1_prob
qwen,mtbench,static_7_4_8,5,0.55,261,0.2676518883415435,0.2447287274552377,0.2905750492278494,target_top1_prob
qwen,mtbench,static_7_4_8,6,0.6500000000000001,1119,0.35924932975871304,0.346358868708908,0.3721397908085181,target_top1_prob
qwen,mtbench,static_7_4_8,7,0.75,3261,0.41372059403338146,0.40547746201435153,0.4219637260524114,target_top1_prob
qwen,mtbench,static_7_4_8,8,0.8500000000000001,6016,0.45652070668693,0.4499821808627937,0.46305923251106634,target_top1_prob
qwen,mtbench,static_7_4_8,9,0.95,7391,0.6420936660417109,0.6342480053869679,0.6499393266964539,target_top1_prob
llama,livecodebench,static_6_10_60,0,0.05,0,,,,target_top1_prob
llama,livecodebench,static_6_10_60,1,0.15000000000000002,1,,,,target_top1_prob
llama,livecodebench,static_6_10_60,2,0.25,50,0.26333333333333336,0.21658274213089213,0.3100839245357746,target_top1_prob
llama,livecodebench,static_6_10_60,3,0.35000000000000003,216,0.3248456790123456,0.29796578936983803,0.3517255686548532,target_top1_prob
llama,livecodebench,static_6_10_60,4,0.45,349,0.39255014326647564,0.36240962471962634,0.42269066181332493,target_top1_prob
llama,livecodebench,static_6_10_60,5,0.55,640,0.4658854166666667,0.44016044234156215,0.4916103909917713,target_top1_prob
llama,livecodebench,static_6_10_60,6,0.6500000000000001,789,0.5173215040135192,0.4931663774924342,0.5414766305346042,target_top1_prob
llama,livecodebench,static_6_10_60,7,0.75,777,0.6372801372801373,0.6125170202020328,0.6620432543582419,target_top1_prob
llama,livecodebench,static_6_10_60,8,0.8500000000000001,353,0.9381491973559962,0.9043223870661342,0.9719760076458582,target_top1_prob
llama,livecodebench,static_6_10_60,9,0.95,30,0.9333333333333333,0.8241444744852269,1.0425221921814398,target_top1_prob
llama,math500,static_6_10_60,0,0.05,0,,,,target_top1_prob
llama,math500,static_6_10_60,1,0.15000000000000002,0,,,,target_top1_prob
llama,math500,static_6_10_60,2,0.25,1,,,,target_top1_prob
llama,math500,static_6_10_60,3,0.35000000000000003,5,0.8000000000000002,0.5006050545962186,1.0993949454037817,target_top1_prob
llama,math500,static_6_10_60,4,0.45,82,0.5386178861788619,0.48975701276943034,0.5874787595882933,target_top1_prob
llama,math500,static_6_10_60,5,0.55,308,0.6093073593073594,0.5806141767358449,0.6380005418788738,target_top1_prob
llama,math500,static_6_10_60,6,0.6500000000000001,776,0.6574312714776632,0.6346978492015536,0.6801646937537729,target_top1_prob
llama,math500,static_6_10_60,7,0.75,1143,0.7907553222513852,0.7714954968260103,0.8100151476767602,target_top1_prob
llama,math500,static_6_10_60,8,0.8500000000000001,454,0.8355359765051394,0.8036302587675217,0.8674416942427572,target_top1_prob
llama,math500,static_6_10_60,9,0.95,33,0.9646464646464648,0.8613869034135124,1.067906025879417,target_top1_prob
llama,mtbench,static_6_10_60,0,0.05,0,,,,target_top1_prob
llama,mtbench,static_6_10_60,1,0.15000000000000002,0,,,,target_top1_prob
llama,mtbench,static_6_10_60,2,0.25,0,,,,target_top1_prob
llama,mtbench,static_6_10_60,3,0.35000000000000003,0,,,,target_top1_prob
llama,mtbench,static_6_10_60,4,0.45,4,0.5833333333333334,0.3724709067064851,0.7941957599601817,target_top1_prob
llama,mtbench,static_6_10_60,5,0.55,65,0.6128205128205128,0.539039164386604,0.6866018612544215,target_top1_prob
llama,mtbench,static_6_10_60,6,0.6500000000000001,477,0.7033542976939202,0.6751390188935018,0.7315695764943386,target_top1_prob
llama,mtbench,static_6_10_60,7,0.75,1053,0.8216207660652105,0.8020579624225558,0.8411835697078652,target_top1_prob
llama,mtbench,static_6_10_60,8,0.8500000000000001,773,0.9294954721862871,0.9079139144951501,0.9510770298774242,target_top1_prob
llama,mtbench,static_6_10_60,9,0.95,100,0.9716666666666667,0.9183111111111111,1.0250222222222223,target_top1_prob
qwen,livecodebench,static_6_10_60,0,0.05,0,,,,target_top1_prob
qwen,livecodebench,static_6_10_60,1,0.15000000000000002,0,,,,target_top1_prob
qwen,livecodebench,static_6_10_60,2,0.25,0,,,,target_top1_prob
qwen,livecodebench,static_6_10_60,3,0.35000000000000003,0,,,,target_top1_prob
qwen,livecodebench,static_6_10_60,4,0.45,2,,,,target_top1_prob
qwen,livecodebench,static_6_10_60,5,0.55,87,0.46168582375478934,0.413410516106028,0.5099611314035506,target_top1_prob
qwen,livecodebench,static_6_10_60,6,0.6500000000000001,1601,0.49125546533416614,0.4802801317863768,0.5022307988819555,target_top1_prob
qwen,livecodebench,static_6_10_60,7,0.75,5299,0.5136189218091465,0.5072184309997635,0.5200194126185295,target_top1_prob
qwen,livecodebench,static_6_10_60,8,0.8500000000000001,4957,0.5358079483558604,0.5287407968737305,0.5428750998379903,target_top1_prob
qwen,livecodebench,static_6_10_60,9,0.95,877,0.5851387305207146,0.5661819958352352,0.6040954652061941,target_top1_prob
qwen,math500,static_6_10_60,0,0.05,0,,,,target_top1_prob
qwen,math500,static_6_10_60,1,0.15000000000000002,0,,,,target_top1_prob
qwen,math500,static_6_10_60,2,0.25,0,,,,target_top1_prob
qwen,math500,static_6_10_60,3,0.35000000000000003,0,,,,target_top1_prob
qwen,math500,static_6_10_60,4,0.45,0,,,,target_top1_prob
qwen,math500,static_6_10_60,5,0.55,74,0.4301801801801802,0.3848515688419841,0.47550879151837633,target_top1_prob
qwen,math500,static_6_10_60,6,0.6500000000000001,1080,0.4466049382716049,0.4337052911099893,0.45950458543322054,target_top1_prob
qwen,math500,static_6_10_60,7,0.75,4481,0.49430930595849143,0.48696405616482896,0.5016545557521539,target_top1_prob
qwen,math500,static_6_10_60,8,0.8500000000000001,5601,0.556983871927632,0.5498286831463429,0.5641390607089211,target_top1_prob
qwen,math500,static_6_10_60,9,0.95,922,0.6552783803326103,0.6366591636050452,0.6738975970601755,target_top1_prob
qwen,mtbench,static_6_10_60,0,0.05,0,,,,target_top1_prob
qwen,mtbench,static_6_10_60,1,0.15000000000000002,0,,,,target_top1_prob
qwen,mtbench,static_6_10_60,2,0.25,0,,,,target_top1_prob
qwen,mtbench,static_6_10_60,3,0.35000000000000003,0,,,,target_top1_prob
qwen,mtbench,static_6_10_60,4,0.45,18,0.3611111111111111,0.22074304012552348,0.5014791820966987,target_top1_prob
qwen,mtbench,static_6_10_60,5,0.55,132,0.6085858585858587,0.5395646858746684,0.6776070312970489,target_top1_prob
qwen,mtbench,static_6_10_60,6,0.6500000000000001,923,0.7026002166847237,0.6785100581268444,0.726690375242603,target_top1_prob
qwen,mtbench,static_6_10_60,7,0.75,4751,0.7418789026871536,0.7319676060312871,0.7517901993430202,target_top1_prob
qwen,mtbench,static_6_10_60,8,0.8500000000000001,6778,0.771687813514311,0.7635014485236694,0.7798741785049527,target_top1_prob
qwen,mtbench,static_6_10_60,9,0.95,1627,0.8846547838557673,0.8684690927365264,0.9008404749750083,target_top1_prob
