model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
qwen,livecodebench,static_7_4_8,5,0.55,1794,0.32640547857939156,0.319358549648205,0.33345240751057814,top1_prob
qwen,livecodebench,static_7_4_8,6,0.6500000000000001,1569,0.331421287444232,0.32377764368855905,0.33906493119990494,top1_prob
qwen,livecodebench,static_7_4_8,7,0.75,1535,0.34509073987901345,0.33674321747055025,0.35343826228747666,top1_prob
qwen,livecodebench,static_7_4_8,8,0.8500000000000001,1711,0.3791433581030308,0.3706514449512335,0.3876352712548281,top1_prob
qwen,livecodebench,static_7_4_8,9,0.95,3903,0.4490318802386442,0.4428302952947866,0.4552334651825018,top1_prob
qwen,math500,static_7_4_8,0,0.05,187,0.20244461420932003,0.18777551682404325,0.2171137115945968,top1_prob
qwen,math500,static_7_4_8,1,0.15000000000000002,855,0.22406015037593977,0.21660416600970864,0.2315161347421709,top1_prob
qwen,math500,static_7_4_8,2,0.25,1358,0.24773827056595826,0.2411798202351636,0.2542967208967529,top1_prob
qwen,math500,static_7_4_8,3,0.35000000000000003,1635,0.26902577544779377,0.26275801016315076,0.2752935407324368,top1_prob
qwen,math500,static_7_4_8,4,0.45,1669,0.29581443122485657,0.28888372124415773,0.3027451412055554,top1_prob
qwen,math500,static_7_4_8,5,0.55,1578,0.3144124569980083,0.3064838876723198,0.32234102632369677,top1_prob
qwen,math500,static_7_4_8,6,0.6500000000000001,1445,0.33573900148294605,0.3269394660056134,0.3445385369602787,top1_prob
qwen,math500,static_7_4_8,7,0.75,1478,0.3453508602358399,0.3362397583088116,0.3544619621628682,top1_prob
qwen,math500,static_7_4_8,8,0.8500000000000001,1699,0.37248801816194393,0.36322233627240624,0.3817537000514816,top1_prob
qwen,math500,static_7_4_8,9,0.95,4682,0.46042594739732706,0.45441834023816163,0.4664335545564925,top1_prob
qwen,mtbench,static_7_4_8,0,0.05,551,0.16437645838734766,0.1574677658027539,0.1712851509719414,top1_prob
qwen,mtbench,static_7_4_8,1,0.15000000000000002,576,0.22247023809523803,0.2118096058857356,0.23313087030474045,top1_prob
qwen,mtbench,static_7_4_8,2,0.25,814,0.2753597753597753,0.26395084891713616,0.2867687018024144,top1_prob
qwen,mtbench,static_7_4_8,3,0.35000000000000003,1036,0.30653612796469937,0.2963072857987566,0.31676497013064214,top1_prob
qwen,mtbench,static_7_4_8,4,0.45,996,0.3429432013769363,0.33096656557582077,0.3549198371780518,top1_prob
qwen,mtbench,static_7_4_8,5,0.55,1163,0.3683822626212995,0.35665765938680016,0.3801068658557989,top1_prob
qwen,mtbench,static_7_4_8,6,0.6500000000000001,1094,0.398798641943066,0.38580134925376974,0.4117959346323623,top1_prob
qwen,mtbench,static_7_4_8,7,0.75,1174,0.45461182769530295,0.4398898576620789,0.469333797728527,top1_prob
qwen,mtbench,static_7_4_8,8,0.8500000000000001,1455,0.4828669612174767,0.46880107655856834,0.49693284587638503,top1_prob
qwen,mtbench,static_7_4_8,9,0.95,9255,0.6613567955545265,0.6550652013154528,0.6676483897936003,top1_prob
llama,livecodebench,static_6_10_60,0,0.05,476,0.20518207282913165,0.1962094713079995,0.21415467435026378,top1_prob
llama,livecodebench,static_6_10_60,1,0.15000000000000002,256,0.279296875,0.25544291843581196,0.30315083156418804,top1_prob
llama,livecodebench,static_6_10_60,2,0.25,169,0.3500986193293885,0.31611411033047493,0.3840831283283021,top1_prob
llama,livecodebench,static_6_10_60,3,0.35000000000000003,153,0.42047930283224405,0.3799394772906857,0.4610191283738024,top1_prob
llama,livecodebench,static_6_10_60,4,0.45,171,0.4288499025341131,0.39240486965354116,0.46529493541468503,top1_prob
llama,livecodebench,static_6_10_60,5,0.55,179,0.5111731843575419,0.4670538006429823,0.5552925680721015,top1_prob
