model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
qwen,math500,5,0.10097528994083405,6908,static_6_10_60,190.14860244518815,4.136363636363637,102.85919361800636,112.27482807240331,116.08865188005161,190.14860244518815,1.675425790754258,2.163961038961039,2.298081023454158,4.136363636363637
qwen,math500,6,0.13634458184242249,6907,static_6_10_60,164.17854214262712,3.5714285714285716,108.95257820239705,121.54742694466964,126.95595272362456,164.17854214262712,1.7746781115879828,2.3426791277258565,2.513209181463837,3.5714285714285716
qwen,math500,7,0.18437989056110382,6908,static_7_4_8,139.93584094368947,2.7701579384871153,120.91890035416333,134.52311693936736,139.93584094368947,131.91388951285865,1.9695919938414164,2.592769803296119,2.7701579384871153,2.869565217391304
qwen,math500,8,0.25718945264816284,6908,static_7_4_8,157.43304863089529,3.116531165311653,130.28454659510962,150.28334872105637,157.43304863089529,79.68131911988837,2.1221446700507616,2.89652914210871,3.116531165311653,1.7333333333333334
qwen,math500,9,0.44570720195770264,6908,static_7_4_8,176.42248605845072,3.4924444444444442,157.9928589992153,166.64201918105937,176.42248605845072,,2.573472544470224,3.2118226600985222,3.4924444444444442,
qwen,mtbench,0,0.01844617910683155,7687,static_6_10_60,148.23906933227263,3.325243725368181,74.06125509707589,77.79369890169912,65.90282270746822,148.23906933227263,1.218978102189781,1.5292233787029623,1.3255378858746492,3.325243725368181
qwen,mtbench,1,0.048745110630989075,7687,static_6_10_60,202.8626066940738,4.550538620215448,89.85423935168825,97.89509197089724,100.77497305587882,202.8626066940738,1.4789156626506024,1.924364896073903,2.0269396551724137,4.550538620215448
qwen,mtbench,2,0.07885373383760452,7686,static_6_10_60,254.30812866260888,5.704545454545454,97.625800288644,106.98522399274694,113.3163847195482,254.30812866260888,1.6068281938325992,2.1030534351145036,2.279191616766467,5.704545454545454
qwen,mtbench,3,0.11510820686817169,7687,static_6_10_60,289.93983400783355,6.503822629969419,110.0811432609443,122.88797309328164,131.50925139439065,289.93983400783355,1.8118313404657016,2.415660446395902,2.6451142440447253,6.503822629969419
qwen,mtbench,4,0.1757943034172058,7686,static_6_10_60,219.65737965758413,4.927272727272728,120.66578295451518,141.34357241114915,147.8425968929254,219.65737965758413,1.9860444832097688,2.7784499054820415,2.973635350909766,4.927272727272728
qwen,mtbench,5,0.2527107298374176,7687,static_6_10_60,207.67714636872657,4.658536585365853,140.03361106544259,162.9412174691234,165.5322593698128,207.67714636872657,2.304820587169264,3.2030038759689923,3.3294367693942615,4.658536585365853
qwen,mtbench,6,0.34528619050979614,7686,static_6_10_60,210.4171799229108,4.72,144.30326857695795,183.7382572913333,191.73359251039693,210.4171799229108,2.3750951052498097,3.6118200134318332,3.8564378645132344,4.72
qwen,mtbench,7,0.4702205955982208,7687,static_7_4_8,226.54185687298602,4.556554661618552,170.9484959145076,219.29438783600102,226.54185687298602,139.3122218769272,2.813650306748466,4.310761789600967,4.556554661618552,3.125
qwen,mtbench,8,0.6586633324623108,7686,static_7_1_8,320.53350020558554,6.300861497680583,192.65831106605512,320.53350020558554,281.05311379808455,,3.1709732988802757,6.300861497680583,5.65296803652968,
qwen,mtbench,9,0.8773253560066223,7687,static_7_4_8,342.61641228167053,6.8912228057014255,212.62360714655952,328.3426982426195,342.61641228167053,,3.499583159649854,6.454370179948586,6.8912228057014255,
