model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
qwen,livecodebench,static_6_10_60,3,0.35000000000000003,1163,0.39724849527085127,0.38593495690248314,0.4085620336392194,t
qwen,livecodebench,static_6_10_60,4,0.45,1927,0.440667704549386,0.4316380169912918,0.44969739210748017,t
qwen,livecodebench,static_6_10_60,5,0.55,2012,0.48003644797879386,0.4704066444562359,0.4896662515013518,t
qwen,livecodebench,static_6_10_60,6,0.6500000000000001,1843,0.5106710074154458,0.5001455081627054,0.5211965066681862,t
qwen,livecodebench,static_6_10_60,7,0.75,1687,0.5395178818415333,0.5283385447701759,0.5506972189128906,t
qwen,livecodebench,static_6_10_60,8,0.8500000000000001,1962,0.5840978593272171,0.5731588074623347,0.5950369111920996,t
qwen,livecodebench,static_6_10_60,9,0.95,2076,0.6732498394348104,0.661738954957302,0.6847607239123189,t
qwen,math500,static_6_10_60,0,0.05,0,,,,t
qwen,math500,static_6_10_60,1,0.15000000000000002,0,,,,t
qwen,math500,static_6_10_60,2,0.25,165,0.34545454545454546,0.3142368195580728,0.3766722713510181,t
qwen,math500,static_6_10_60,3,0.35000000000000003,991,0.3632694248234107,0.35150694814339184,0.3750319015034295,t
qwen,math500,static_6_10_60,4,0.45,1576,0.41708967851099826,0.4067309168055384,0.4274484402164581,t
qwen,math500,static_6_10_60,5,0.55,1680,0.4643849206349207,0.453646198007937,0.4751236432619044,t
qwen,math500,static_6_10_60,6,0.6500000000000001,1627,0.5028682646998567,0.4909566963737307,0.5147798330259827,t
qwen,math500,static_6_10_60,7,0.75,1463,0.544771018455229,0.5318827696397489,0.5576592672707091,t
qwen,math500,static_6_10_60,8,0.8500000000000001,2013,0.5816360324557046,0.5699051502882939,0.5933669146231153,t
qwen,math500,static_6_10_60,9,0.95,2643,0.685773741959894,0.6752985975477286,0.6962488863720595,t
qwen,mtbench,static_6_10_60,0,0.05,0,,,,t
qwen,mtbench,static_6_10_60,1,0.15000000000000002,15,0.17777777777777773,0.15599999999999994,0.1995555555555555,t
qwen,mtbench,static_6_10_60,2,0.25,195,0.27606837606837603,0.2439380581728492,0.30819869396390287,t
qwen,mtbench,static_6_10_60,3,0.35000000000000003,597,0.3961474036850921,0.37441916025488314,0.41787564711530106,t
qwen,mtbench,static_6_10_60,4,0.45,942,0.5152158527954707,0.4970800527952422,0.5333516527956991,t
qwen,mtbench,static_6_10_60,5,0.55,1134,0.5878894767783657,0.5704052773942705,0.6053736761624608,t
qwen,mtbench,static_6_10_60,6,0.6500000000000001,1206,0.6428966279712548,0.6254116403977104,0.6603816155447992,t
qwen,mtbench,static_6_10_60,7,0.75,1168,0.6723744292237444,0.6543960324539736,0.6903528259935151,t
qwen,mtbench,static_6_10_60,8,0.8500000000000001,1974,0.7485646740965889,0.7339613714921052,0.7631679767010726,t
qwen,mtbench,static_6_10_60,9,0.95,6998,0.9211917690768792,0.9140998428115776,0.9282836953421807,t
